Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Gas sensor,,0x00,0x1C,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Detection threshold level,Specifies detection threshold level (8-step).,0x31.0x38,-,unsigned char,1,-,optional,optional,-,
0xB1,Gas detection status,This property indicates gas detection status.,Gas detection status found = 0x41 Gas detection status not found = 0x42,-,unsigned char,1,-,-,optional,mandatory,
0xE0,Measured value of gas concentration,This property indicates measured value of gas concentration in ppm.,0x0000.0xFFFD (0.65533),ppm,unsigned short,2,-,-,mandatory,-,
