Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Bidet-equipped toilet(with electrically warmed seat),,0x02,0x6E,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xE0,Temperature level of toilet seat,"Low to high temperature (10 steps) 0x31 for the lowest level, 0x3A for the highest level.",0x31 to 0x3A,-,unsigned char,1,-,optional,optional,-,
0xE1,Heater setting of toilet seat,ON/OFF,"ON=0x41, OFF=0x42",-,unsigned char,1,-,mandatory,mandatory,-,
0xE2,Temporal halt setting of toilet seat,Continuous setting / one time setting / no setting.,"Continuous setting=0x41, one time setting=0x42, no setting=0x43",-,unsigned char,1,-,optional,optional,-,
0xE3,Temporal halt start time of toilet seat,Temporal halt start time of toilet seat timer value: HH:MM,0.0x17 : 0.0x3B (=0.23) : (=0.59),-,unsigned char ×2,2,-,optional,optional,-,
0xE4,Temporal halt time duration of toilet seat,Temporal stop time duration of toilet seat timer value: HH:MM,0.0x17 : 0.0x3B (=0.23) : (=0.59),-,unsigned char ×2,2,-,optional,optional,-,
0xE5,Temperature level setting of room heating,Low / medium / high temperature,0x31 / 0x32 / 0x33,-,unsigned char,1,-,optional,optional,-,
0xE6,Room heating setting,Room heating ON / room heating OFF / timer mode setting,0x41 / 0x42 / 0x43,-,unsigned char,1,-,optional,optional,-,
0xE7,Room heating status,Room heating ON / room heating OFF,"ON=0x41, OFF=0x42",-,unsigned char,1,-,-,optional,-,
0xE8,Start time of room heating,Timer value HH:MM,0 to 0x17 : 0 to 0x3B (=0 to 23) : (=0 to 59),-,unsigned char ×2,2,-,optional,optional,-,
0xE9,Duration time of room heating,Duration time HH:MM,0.0x17 : 0.0x3B (=0.23) : (=0.59),-,unsigned char ×2,2,-,optional,optional,-,
0xEA,Special operation mode setting,Used to set a special operation mode and get the status,"No setting: 0x40, Over-cool prevention: 0x41 for future reserved: 0x42-",-,unsigned char,1,-,optional,optional,-,
0xEB,Human detection status,Indicate detection of human body,Detected = 0x41 Non detecteed = 0x42,-,unsigned char,1,-,-,optional,-,
0xEC,Seating detection status,This property indicates detection of seating,Detected = 0x41 Non detecteed = 0x42,-,unsigned char,1,-,-,optional,-,
