Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Cold / hot water heat source equipment,,0x02,0x7A,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",—,unsigned char,1,-,optional,mandatory,mandatory,
0xE0,Operation mode setting,Set the operation mode of heating (hot water)/cooling (cold water) and gets the status,"Heating=0x41,Cooling=0x42",.,unsigned char,1,-,optional,optional,-,
0xE1,Water temperature setting 1,This property indicates water_x000a_temperature setting。,0x00.0x64 (0.100.C) AUTO=0x71,.C,unsigned char,1,-,mandatory,mandatory,-,
0xE2,Water temperature setting 2,This property indicates water temperature setting level by 15 steps,Cooling (cold water):0x21.0x2F Heating (hot water):0x31.0x3F indicated the minimum to maximum_x000a_level respectively_x000a_AUTO=0x41,.,unsigned char,1,-,mandatory,mandatory,-,
0xE3,Measured temperature of outward water_x000a_(Exit water Temperature),Measured temperature of outward water,0x00.0x64 (0.100.C),.C,unsigned char,1,-,-,optional,-,
0xE4,Measured temperature of inward water_x000a_(Entrance water temperature),Measured temperature of inward water,0x00.0x64 (0.100.C),.C,unsigned char,1,-,-,optional,-,
0xE5,Special operation setting,Sets Nornal Operation/ modest operation/high power operation and gets the status,"Nornal Operation=0x41, modest_x000a_operation=0x42、high power_x000a_operation=0x43",.,unsigned char,1,-,optional,optional,-,
0xE6,Daily timer setting,Daily timer ON/OFF_x000a_Up tp 2 kinds of timers can be used,"Timer OFF=0x40, timer 1=0x41 timer 2=0x42",.,unsigned char,1,-,optional,optional,-,
0xE7,Daily timer setting 1,Time set by daily timer,"Set the time in the unit of 30 minutes, dividing 24 hours by 30 minutes and allocated 6 bytes._x000a_Each bit 1: worked 0: stopped",.,unsigned char_x000a_× 6,6,-,optional,optional,-,
0xE8,Daily timer setting 2,Time set by daily timer,"Set the time in the unit of 30 minutes, dividing 24 hours by 30 minutes and allocated 6 bytes._x000a_Each bit 1: worked 0: stopped",.,unsigned char_x000a_× 6,6,-,optional,optional,-,
0x90,ON timer reservation setting,Reservation ON/OFF,"ON=0x41, OFF=0x42",.,unsigned char,1,-,optional,optional,-,
0x91,ON timer setting,Timer value HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59),.,unsigned char_x000a_× 2,2,-,optional,optional,-,
0x92,Relative ON timer setting,Timer value HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59),.,unsigned char_x000a_× 2,2,-,optional,optional,-,
0x94,OFF timer reservation setting,Reservation ON/OFF,"ON=0x41, OFF=0x42",.,unsigned_x000a_char,1,-,optional,optional,-,
0x95,Time set by OFF timer,Timer value HH:MM,0.0x17: 0-.0x3B (=0.23):(=0.59),.,unsigned char_x000a_×2,2,-,optional,optional,-,
0x96,Relative OFF timer setting,Timer value HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59),.,unsigned char_x000a_×2,2,-,optional,optional,-,
