Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Floor heater,,0x02,0x7B,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,mandatory,mandatory,mandatory,
0xE0,Temperature setting 1,This property indicates set temperature,0x00-0x32 (0-50°C) AUTO=0x41,°C,unsigned char,1,-,mandatory,mandatory,-,
0xE1,Temperature setting 2,This property indicates set temperature level by 15 steps,"0x31-0x3F 0x31 indicates the minimum level, 0x3F indicates the maximum level AUTO=0x41",.,unsigned char,1,-,mandatory,mandatory,-,
0xE2,Measured room temperature,Measured room temperature,0x81.0x7D (-127.125°C),°C,signed char,1,-,-,optional,-,
0xE3,Measured floor temperature,Measured floor temperature,0x00.0x32 (0.50°C),°C,signed char,1,-,-,optional,-,
0xE4,Zone change setting,Sets the target zone for control and gets the number of controllable zones,"b0.b7 is allocated to 0 to 7 Each bit 1: with control, 0: without control",,unsigned char,1,-,optional,optional,-,
0xE5,Special operation setting,Sets Nornal Operation/modest operation/high power operation and gets the status,"Nornal Operation=0x41, modest operation=0x42、high power operation=0x43",.,unsigned char,1,-,optional,optional,-,
0xE6,Daily timer setting,Daily timer ON/OFF Up tp 2 kinds of timers can be used,"Timer OFF=0x40, timer 1=0x41, timer 2=0x42",.,unsigned char,1,-,optional,optional,-,
0xE7,Daily timer setting 1,Time set by daily timer,"Set the time in the unit of 30 minutes, deviding 24 hours by 30 minutes and allocated to 6 bytes. Each bit 1: worked 0: stopped",.,unsigned char × 6,6,-,optional,optional,-,
0xE8,Daily timer setting 2,Time set by daily timer,"Set the time in the unit of 30 minutes, deviding 24 hours by 30 minutes and allocated to 6 bytes. Each bit 1: worked 0: stopped",.,unsigned char × 6,6,-,optional,optional,-,
0x90,ON timer reservation setting,Reservation ON/OFF,"ON=0x41, OFF=0x42",.,unsigned char,1,-,optional,optional,-,
0x91,Time set by ON timer,Timer value HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59),.,unsigned char × 2,2,-,optional,optional,-,
0x92,Relative ON timer setting,Timer value HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59),.,unsigned char × 2,2,-,optional,optional,-,
0x94,OFF timer reservation setting,Reservation ON/OFF,"ON=0x41, OFF=0x42",.,unsigned char,1,-,optional,optional,-,
0x95,Time set by OFF timer,Timer value HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59),.,unsigned char ×2,2,-,optional,optional,-,
0x96,Relative OFF timer setting,Timer value HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59),.,unsigned char ×2,2,-,optional,optional,-,
