Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Storage battery,,0x02,0x7D,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",,unsigned char,1,-,optional,mandatory,mandatory,
0xC8,Minimum/maxim um charge electric energy,This property indicates the minimum/maximum electric energy for charging in W.,"0x00000000.0x3B9AC9FF (0.999,999,999W) Minimum : maximum",W,unsigned long ×2,8,-,-,optional,-,
0xC9,Minimum/maxim um discharge electric energy,This property indicates the minimum/maximum electric energy for discharging in W.,"0x00000000.0x3B9AC9FF (0.999,999,999W) Minimum : maximum",W,unsigned long ×2,8,-,-,optional,-,
0xCA,Minimum/maxim um charge current,This property indicates the minimum/maximum current for charging in increments of 0.1A.,"0x0000.0x7FFE(0.3,276.6A) Minimum : maximum",0.1A,unsigned short ×2,4,-,-,optional,-,
0xCB,Minimum/maxim um discharge current,This property indicates the minimum/maximum current for discharging in increments of 0.1A.,"0x0000.0x7FFE(0.3,276.6A) Minimum : maximum",0.1A,unsigned short ×2,4,-,-,optional,-,
0xCF,Working operation status,This property indicates the working operation status.,"Rapid charging = 0x41, Charging = 0x42, Discharging = 0x43, Standby = 0x44, Test = 0x45, Other = 0x40",,,,,,,,
0xD0,Rated electric energy,This property indicates the rated electric energy of the battery in Wh.,"0x00000000.0x3B9AC9FF (0. 999,999,999Wh)",Wh,unsigned long,4,-,-,optional,-,
0xD1,Rated capacity,This property indicates the rated charging capacity of the battery in increments of 0.1Ah.,"0x0000.0x7FFE (0.3,276.6Ah)",0.1Ah,unsigned short,2,-,-,optional,-,
0xD2,Rated voltage,This property indicates the rated voltage of the battery in volts.,"0x0000.0x7FFE (0.32,766V)",V,unsigned short,2,-,-,optional,-,
0xD3,Measured instantaneous charge/discharge electric energy,This property indicates the measured instantaneous charge/discharge electric energy in watts (positive/negative).,"0x00000001.0x3B9AC9FF (1. 999,999,999W) : during charging (positive value), 0xFFFFFFFF. 0xC4653601 (-1. -999,999,999W) : during discharging (negative value)",W,signed long,4,-,-,optional,-,
0xD4,Measured instantaneous charge/discharge current,This property indicates the measured instantaneous charge/discharge current in increments of 0.1A (positive/negative).,"0x0001.0x7FFE (0.1.3,276.6A) : during charging (positive value), 0xFFFF-0x8001 (-0.1. -3,276.7A) : during discharging (negative value)",0.1A,signed short,2,-,-,optional,-,
0xD5,Measured instantaneous charge/discharge voltage,This property indicates the measured instantaneous charge/discharge voltage in volts (positive/negative).,"0x0001.0x7FFE (1.32,766V) : during charging (positive value), 0xFFFF. 0x8001 (-1. -32,767V) : during discharging (negative value)",V,signed short,2,-,-,optional,-,
