Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Electric hot water pot(electric thermos),,0x03,0xB2,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This  property  indicates  the  ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Cover open/close status,Cover open/close status,"Cover open = 0x41, cover closed = 0x42",-,unsigned char,1,-,-,optional,-,
0xB1,No-water warning,Notifies that electric hot water pot is emptied of water.,No-water condition found = 0x41 No-water condition not found = 0x40,-,unsigned char,1,-,-,optional,mandatory,
0xB2,Boil-up setting,Boil-up setting,Boil-up start = 0x41 Boil-up stop/warmer = 0x42,-,unsigned char,1,-,optional,optional,-,
0xE0,Boil-up/warmer mode setting,"This property indicates citric acid cleaning, normal warmer, or power-saving warmer mode.","Citric acid cleaning = 0x41, normal warmer = 0x42, power-saving warmer = 0x43",-,unsigned char,1,-,optional,optional,-,
0xE1,Set value of warmer temperature,This property indicates set value of warmer temperature in °C.,0x00.0x64 (0.100),°C,unsigned char,1,-,optional,optional,-,
0xE2,Hot water discharge status,Hot water discharge status,"Hot water discharged = 0x41, hot water not discharged = 0x42",-,unsigned char,1,-,-,optional,mandatory,
0xE3,Lock status,Hot water discharge lock status,"Locked = 0x41, unlocked = 0x42",-,unsigned char,1,-,-,optional,-,
