Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Refrigerator,,0x03,0xB7,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This  property  indicates  the  ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Door open/close status,Door open/close status,"Door open = 0x41, Door close = 0x42",-,unsigned char,1,-,-,mandatory,-,
0xB1,Door open warning,Door open warning status,Door open warning found = 0x41 Door open warning not found = 0x42,-,unsigned char,1,-,-,optional,mandatory,
0xB2,Refrigerator compartment door status,Used to acquire the status (i.e. open or closed) of the refrigerator compartment door.,"Open = 0x41, closed = 0x42",-,unsigned char,1,-,-,optional,-,
0xB3,Freezer compartment door status,Used to acquire the status (i.e. open or closed) of the freezer compartment door.,"Open = 0x41, closed = 0x42",-,unsigned char,1,-,-,optional,-,
0xB4,Ice compartment door status,Used to acquire the status (i.e. open or closed) of the ice compartment door.,"Open = 0x41, closed = 0x42",-,unsigned char,1,-,-,optional,-,
0xB5,Vegetable compartment door status,Used to acquire the status (i.e. open or closed) of the vegetable compartment door.,"Open = 0x41, closed = 0x42",-,unsigned char,1,-,-,optional,-,
0xB6,Multi-refrigera- ting mode compartment door,Used to acquire the status (i.e. open or closed) of the multi-refrigerating mode compartment door.,"Open = 0x41, closed = 0x42",-,unsigned char,1,-,-,optional,-,
0xE0,Maximum allowable temperature setting level,Used to acquire the maximum allowable temperature setting levels for the individual compartments of the refrigerator.,First byte: Refrigerator compartment Second byte: Freezer compartment Third byte: subzero-fresh compartment Fourth byte: Vegetable compartment Fifth byte: Multi-refrigerating mode compartment Sixth to eighth bytes: Reserved for future use. 0x01.0xFF (Level 1.255) 0x00 = no compartment,-,unsigned char × 8,8,-,-,optional,-,
0xE2,Refrigerator compartment temperature setting,"Used to specify the refrigerator compartment temperature in °C, and to acquire the current setting.",0x81.0x7E (-127.126°C),°C,signed char,1,-,optional,optional,-,
0xE3,Freezer compartment temperature setting,"Used to specify the freezer compartment temperature in °C, and to acquire the current setting.",0x81.0x7E (-127.126°C),°C,signed char,1,-,optional,optional,-,
0xE4,Ice temperature setting,"Used to specify the ice compartment temperature in °C, and to acquire the current setting.",0x81.0x7E (-127.126°C),°C,signed char,1,-,optional,optional,-,
0xE5,Vegetable compartment temperature setting,"Used to specify the vegetable compartment temperature in °C, and to acquire the current setting.",0x81.0x7E (-127.126°C),°C,signed char,1,-,optional,optional,-,
0xE6,Multi-refrigera- ting mode compartment temperature setting,"Used to specify the multi-refrigerating mode compartment temperature in °C, and to acquire the current setting.",0x81.0x7E (-127.126°C),°C,signed char,1,-,optional,optional,-,
0xE9,Refrigerator compartment temperature level setting,"Used to specify the refrigerator compartment temperature by selecting a level from among the predefined levels, and to acquire the current setting.",0x01 to maximum allowable temperature setting level (highest to lowest temperature),-,unsigned char,1,-,optional,optional,-,
0xEA,Freezer compartment temperature level setting,"Used to specify the freezer compartment temperature by selecting a level from among the predefined levels, and to acquire the current setting.",0x01 to maximum allowable temperature setting level (highest to lowest temperature),-,unsigned char,1,-,optional,optional,-,
0xEB,ice compartment temperature level setting,"Used to specify ice compartment temperature by selecting a level from among the predefined levels, and to acquire the current setting.",0x01 to maximum allowable temperature setting level (highest to lowest temperature),-,unsigned char,1,-,optional,optional,-,
0xEC,Vegetable compartment temperature level setting,"Used to specify the vegetable compartment temperature by selecting a level from among the predefined levels, and to acquire the current setting.",0x01 to maximum allowable temperature setting level (highest to lowest temperature),-,unsigned char,1,-,optional,optional,-,
0xED,Multi-refrigera- ting mode compartment temperature level setting,"Used to specify the multi-refrigerating mode compartment temperature by selecting a level from among the predefined levels, and to acquire the current setting.",0x01 to maximum allowable temperature setting level (highest to lowest temperature),-,unsigned char,1,-,optional,optional,-,
0xD1,Measured refrigerator compartment temperature,Used to acquire the measured refrigerator compartment temperature (°C).,0x81.0x7E (-127.126°C),°C,signed char,1,-,-,optional,-,
0xD2,Measured freezer compartment temperature,Used to acquire the measured freezer compartment temperature (°C).,0x81.0x7E (-127.126°C),°C,signed char,1,-,-,optional,-,
0xD3,Measured subzero-fresh compartment temperature,Used to acquire the measured meat and fish compartment temperature (°C).,0x81.0x7E (-127.126°C),°C,signed char,1,-,-,optional,-,
0xD4,Measured vegetable compartment temperature,Used to acquire the measured vegetable compartment temperature (°C).,0x81.0x7E (-127.126°C),°C,signed char,1,-,-,optional,-,
0xD5,Measured multi-refrigeratin g mode compartment temperature,Used to acquire the measured multi-refrigerating mode compartment temperature (°C).,0x81.0x7E (-127.126°C),°C,signed char,1,-,-,optional,-,
0xD8,Compressor rotation speed,Used to acquire the rotation speed of the compressor. The rotation speed is expressed in terms of a level.,First byte: Maximum rotation speed L (0x01.0xFF (1.255)) Second byte: Rotation speed of the actual compressor: 0x00 to L (zero speed to highest speed),-,unsigned char,2,-,-,optional,-,
0xDA,Measured electric current consumption,Used to acquire the measured electric current consumption.,0x0000.0xFFFD (0.6553.3A),0.1A,unsigned char,2,-,-,optional,-,
0xDC,Rated power consumption,Used to acquire the rated power consumption.,0x0000.0xFFFD (0.65533W),W,unsigned char,2,-,-,optional,-,
0xA0,Quick freeze function setting,"Used to specify whether or not to use the “Quick freeze” function of the refrigerator, and to acquire the current setting.",“Normal operation” mode: 0x41 “Quick freeze” mode: 0x42 “Standby for fast freezing” mode: 0x43,-,unsigned char,1,-,optional,optional,-,
0xA1,Quick refrigeration function setting,"Used to specify whether or not to use the “quick refrigeration” function of the refrigerator, and to acquire the current setting.",“Normal operation” mode: 0x41 “Quick refrigeration” mode: 0x42 “Standby for quick refrigeration” mode: 0x43,-,unsigned char,1,-,optional,optional,-,
0xA4,Icemaker setting,"Used to specify whether or not to enable the automatic icemaker of the refrigerator, and to acquire the current setting.",“Enable icemaker” option: 0x41 “Disable icemaker” option: 0x42 “Temporarily disable icemaker” option: 0x43,-,unsigned char,1,-,optional,optional,-,
0xA5,Icemaker operation status,Used to acquire the status of the automatic icemaker of the refrigerator.,“Ice-making in progress” state: 0x41 “Ice-making stopped” state: 0x42,-,unsigned char,1,-,-,optional,-,
0xA6,Icemaker tank status,Used to acquire the status of the tank of the automatic icemaker of the refrigerator in terms of whether it contains water or not.,Icemaker tank contains water: 0x41 There is no water left in the icemaker tank or the icemaker tank has not been positioned correctly in the refrigerator: 0x42,-,unsigned char,1,-,-,optional,-,
0xA8,Refrigerator compartment humidification function setting,"Used to specify whether or not to use the refrigerator compartment humidification function, and to acquire the current setting.",ON = 0x41 OFF = 0x42,-,unsigned char,1,-,optional,optional,-,
0xA9,Vegetable compartment humidification function setting,"Used to specify whether or not to use the vegetable compartment humidification function, and to acquire the current setting.",ON = 0x41 OFF = 0x42,-,unsigned char,1,-,optional,optional,-,
0xAD,Deodorization function setting,"Used to specify whether or not to use the deodorization function of the refrigerator, and to acquire the current setting.",ON = 0x41 OFF = 0x42,-,unsigned char,1,-,optional,optional,-,
