Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Cooking heater,,0x03,0xB9,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This  property  indicates  the  ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB1,Heating status,Heating status of the left stove: heating status of the right stove: heating status of the far-side stove: heating status of the roaster.,Standing by: 0x40 Operating: 0x41 Temporarily stopped: 0x42 Heating prohibited: 0x50 Unknown: 0xFF,-,unsigned char × 4,4,-,-,mandatory,-,
0xB2,Heating setting,Left stove setting: right stove setting: far-side stove setting: roaster setting,Stop heating: 0x40 Start/resume heating: 0x41 Temporarily stop heating: 0x42 No setting: 0xFF,-,unsigned char,1,-,optional,optional,-,
0xB3,“All stop” setting,"Used to stop the heating on all the left stove, right stove, far-side stove and roaster.","Stop the heating on all of the left stove, right stove, far-side stove and roaster: 0x40",-,unsigned char,1,-,mandatory,-,-,
0xE7,Heating power setting,Heating power of the left stove: heating power of the right stove: heating power of the far-side stove: heating power of the roaster,・When the heating powers are specified in terms of output wattage (0 .10000W) : 0x0000.0x2710 ・When the heating powers are specified in terms of level (17 levels)               : 0x3000.0x3010 ・When the heating powers are specified in terms of the state of flame: Very low flame: 0x4002 Low flame: 0x4004 Medium flame: 0x4006 High flame: 0x4008 High power: 0x400a ・No setting: 0xFFFF,W Or Level Or -,unsigned char × 4,8,-,optional,optional,-,
0xE3,Heating temperature setting,Left stove temperature setting: right stove temperature setting: far-side stove temperature setting,Temperature setting: 0x32-0xFA (50°C-250°C) No setting: 0xFF,°C,unsigned char × 3,3,-,optional,optional,-,
0xE0,“Heating modes of stoves” setting,Heating mode of the left stove: heating mode of the right stove: heating mode of the far-side stove,"Heating power control mode: 0x41 Deep-frying mode (tempura, etc.): 0x42 Water heating mode: 0x43 Rice boiling mode: 0x44 Stir-frying mode: 0x45 No setting: 0xFF",-,unsigned char × 3,3,-,optional,optional,-,
0x96,Relative time settings of OFF timers,Relative time setting of the left stove OFF timer: relative time setting of the right stove OFF timer: relative time setting of the far-side stove OFF timer: relative time setting of the roaster OFF timer,"Used to set the relative time settings of the OFF timers (in the HH:MM:SS format), activate the relevant timers and acquire the updated current relative time settings of the OFF timers. (0.0x17 : 0.0x3B: 0.0x3B) × 4 (= 0.23) : (= 0.59): (= 0.59) No setting: 0xFFFFFF",-,unsigned char × 3 × 4,12,-,optional,optional,-,
0xA1,Child lock setting,Child lock ON/OFF setting,Child lock OFF: 0x40 Child lock ON: 0x41,-,unsigned char,1,-,optional,optional,-,
0xA2,Radiant heater lock setting,Radiant heater lock ON/OFF,Radiant heater lock OFF: 0x40 Radiant heater lock ON: 0x41,-,unsigned char,1,-,optional,optional,-,
