Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Rice cooker,,0x03,0xBB,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This  property  indicates  the  ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Cover open/close status,This property indicates whether the cover is open or closed.,"Cover open = 0x41, Cover closed = 0x42",-,unsigned char,1,-,-,optional,-,
0xB1,Rice cooking status,This property indicates rice cooking status.,"Stop = 0x41, Preheating = 0x42, Rice cooking = 0x43, Steaming = 0x44, Rice cooking completion = 0x45",-,unsigned char,1,-,-,mandatory,-,
0xB2,Rice cooking control setting,This property indicates rice cooking control setting.,"Rice cooking start/restart = 0x41, Rice cooking suspension = 0x42",-,unsigned char,1,-,mandatory,mandatory,-,
0xE1,Warmer setting,This property indicates whether or not warmer function is enabled.,"Warmer enabled = 0x41, Warmer disabled = 0x42",-,unsigned char,1,-,optional,optional,-,
0xE5,Inner pot removal status,This property indicates whether inner pot is removed or not.,"Removed = 0x41, Not removed = 0x42",-,unsigned char,1,-,-,optional,-,
0xE6,Cover removal status,This property indicates whether or not cover is removed.,"Removed = 0x41, Not removed = 0x42",-,unsigned char,1,-,-,optional,-,
0x90,Rice cooking reservation setting,This property indicates whether rice cooking reservation is ON or OFF.,"Reservation ON = 0x41, Reservation OFF = 0x42",-,unsigned char,1,-,optional,optional,-,
0x91,Set value of rice cooking reservation setting time,Timer value (HH:MM),0.0x17: 0.0x3B (= 0.23):(= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x92,Set value of rice cooking reservation setting relative time,Timer value (HH:MM),0.0x17: 0.0x3B (= 0.23):(= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
