Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Washer and dryer,,0x03,0xD3,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Door/cover open/close status,Used to acquire the status of the door/cover (i.e. open or closed).,Door/cover open = 0x41 Door/cover closed = 0x42,-,unsigned char,1,-,-,optional,-,
0xB2,Washer and dryer setting,"Used to specify whether to start or stop the washing, drying or washing and drying cycle, and to acquire the current status.",Start/restart(ed) or in progress = 0x41 Suspend(ed) = 0x42 Stop(ped) = 0x43,-,unsigned char,1,-,optional,optional,-,
0xD0,Washer and dryer cycle setting 1 (Note 1),"Used to specify the washer and dryer cycle option(s) to use in the “washing and drying,” “washing” or “drying” mode and to acquire the current setting(s). The value ranges shall be as follows: Washing and drying course: 0x21.0x3F Washing and drying course maker original code: 0x40.0x4F Washing course: 0x61.0x7F Washing course maker original code: 0x80.0x8F Drying course: 0xA1.0xBF  Drying course maker original code: 0xC0.0xDF","<Washing and drying course>  Standard = 0x21, silent = 0x22, heavily soiled clothes = 0x23, hard-to-remove stains = 0x24, presoaking = 0x25, blankets = 0x26, soft = 0x27, dry = 0x28, clean rinsing = 0x29, ironing/business shirts = 0x2A, hang drying = 0x2B, thick clothes = 0x2C, disinfection = 0x2D, oil stains = 0x2E, memory = 0x2F, detergent saving = 0x30, lightly soiled clothes = 0x31, quick wash of small amount of laundry = 0x32 Washing course / maker original course = 0x40.0x4F <Washing course> Standard = 0x61, silent = 0x62, heavily soiled clothes = 0x63, hard-to-remove stains = 0x64, presoaking = 0x65, blankets = 0x66, soft = 0x67, dry = 0x68, clean rinsing = 0x69, disinfection = 0x6A, oil stains = 0x6B, memory = 0x6C, detergent saving = 0x6D, lightly soiled clothes = 0x6E, quick wash of small amount of laundry = 0x6F, tank cleaning = 0x7F Washing course / maker original course = 0x80.0x8F <Drying course> Standard = 0xA1, blankets = 0xA2, soft = 0xA3, dry = 0xA4, ironing/business shirts = 0xA5, hang drying = 0xA6, thick clothes = 0xA7, disinfection = 0xA8, shrinkage minimization = 0xA9, finishing = 0xAA, stationary drying = 0xAB, user definition of drying time = 0xAC, garment warming = 0xAD, tank drying = 0xBF Drying course / maker original course = 0xC0.0xCF",-,unsigned char,1,-,optional,optional,-,
0xD1,Washer and dryer cycle setting 2 (Note 1),"Used to specify the washer and dryer cycle option(s) to use in the “washing and drying” mode, and to acquire the current setting(s). The drying option(s) to use shall be specified with the “drying cycle setting” property (EPC = 0xD2). Maker original code = 0xE0.0xEF","No washing = 0x20, standard = 0x21, silent = 0x22, heavily soiled clothes = 0x23, hard-to-remove stains = 0x24, presoaking = 0x25, blankets = 0x26, soft = 0x27, dry = 0x28, clean rinsing = 0x29, disinfection = 0x2D, oil stains = 0x2E, memory = 0x2F, detergent saving = 0x30, lightly soiled clothes = 0x31, quick wash of small amount of laundry = 0x32, tank cleaning = 0x3F Maker original course = 0xE0.0xEF",-,unsig ned char,1,-,optional,optional,-,
