Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This property indicates the ON/OFF status.,"ON=0x30, OFF=0x31",,unsigned char,1,-,optional,mandatory,mandatory,
0x81,Installation location,This property indicates the installation location,See “2.2 ‘Installation location’ property.”,,unsigned char,or 1 17,-,mandatory,mandatory,mandatory,
0x82,Standard version information,This property indicates the version number of the corresponding standard.,First byte: Fixed at 0x00 (for future reserved). Second byte: Fixed at 0x00 (for future reserved). Third byte: Indicates the order of release in the ASCII format. Fourth byte: Fixed at 0x00 (for future reserved).,,unsigned char×4,4,-,-,mandatory,-,
0x83,Identification number,A number that allows each object to be uniquely identified.,"First byte: lower-layer communication ID field 0x01.0xFD: This is a communication protocol used in the lower-layer communication and is set arbitrarily according to the protocol class in the case where unique number is assigned (not used in ECHONET Lite). 0x11.0x1F: Power line Communication Protocol a and d systems 0x31.0x3F: Low-Power Radio Communication Protocol 0x41.0x4F: Extended HBS 0x51.0x5F: IrDA 0x61.0x6F: LonTalk 0x71.0x7F: Bluetooth 0x81.0x8F: Ethernet 0x91.0x9F: IEEE802.11/11b 0xA1: Power line Communication Protocol c systems 0xB1: IPv6/Ethernet 0xB2: IPv6/6LoWPAN 0xFE: 2.17 bytes are defined by the manufacturer, and are set according to the type. 0xFF: 2.9 bytes are defined when randomly generated protocol is used in the lower-layer communication. 0x00: Identification number is not set. Second and succeeding bytes: unique number field",,unsigned char,or 9 17,-,-,optional,-,
0x84,Measured instantaneous power consumption,This property indicates the instantaneous power consumption of the device in watts.,0x0000–0xFFFD(0–65535W),,unsigned short,2,-,-,optional,-,
0x85,Measured cumulative power consumption,This property indicates the cumulative power consumption of the device in increments of 0.001kWh.,"0x0–0x3B9AC9FF (0–999,999.999kWh)",,unsigned long,4,-,-,optional,-,
0x86,Manufacturer’s fault code,This property indicates the manufacturer-defined fault code.,First byte: Indicates the data size of the fault code field. Second to fourth bytes: Manufacturer code Fifth and succeeding bytes: Field for manufacturer-defined fault code,,unsigned char× (MAX)22 5,<= 225,-,-,optional,-,
0x87,Current limit setting,This property indicates the current limit setting (0.100%).,0x00.0x64    (=0.100%),,unsigned char,1,-,optional,optional,-,
0x88,Fault status,This property indicates whether a fault (e.g. a sensor trouble) has occurred or not.,"Fault  occurred=0x41,  No  fault  has occurred=0x42",,unsigned char,1,-,-,mandatory,mandatory,
0x89,Fault description,Describes the fault.,See “2.5 ‘Fault Description’ Property.”,,unsigned short,2,-,-,optional,-,
0x8A,Manufacturer code,3-byte manufacturer code,(Defined      by      the      ECHONET Consortium.),,unsigned char×3,3,-,-,mandatory,-,
0x8B,Business facility code,3-byte business facility code,(Defined by each manufacturer.),,unsigned char×3,3,-,-,optional,-,
0x8C,Product code,Identifies the product using ASCII code.,(Defined by each manufacturer.),,unsigned char×12,12,-,-,optional,-,
0x8D,Production number,This property indicates the production number using ASCII code.,(Defined by each manufacturer.),,unsigned char×12,12,-,-,optional,-,
0x8E,Production date,4-byte production date code,This property indicates the production date in the YYMD format (1 character = 1 byte). YY: Year (e.g. 1999=0x07CF) M: Month (e.g. December=0x0C) D: Day (e.g. 20th=0x14),,unsigned char×4,4,-,-,optional,-,
0x8F,Power-saving operation setting,This property indicates whether the device is operating in power-saving mode.,Operating in power-saving mode =0x41 Operating in normal operation mode =0x42,,unsigned char,1,-,optional,optional,-,
0x93,Remote control setting,This property indicates whether remote control is through a public network or not.,Not through a public network=0x41 Through a public network=0x42,,unsigned char,1,-,optional,optional,-,
0x97,Current time setting,Current time (HH: MM format),0x00.0x17: 0x00.0x3B (=0.23): (=0.59),,unsigned char ×2,2,-,optional,optional,-,
0x98,Current date setting,Current date (YYYY: MM: DD format),1.0x270F : 1.0x0C : 1.0x1F (=1.9999) : (=1.12) : (=1.31),,unsigned char ×4,4,-,optional,optional,-,
0x99,Power limit setting,This property indicates the power limit setting in watts.,0x0000.0xFFFF(0.65535W),,unsigned short,2,-,optional,optional,-,
0x9A,Cumulative operating time,"This property indicates the cumulative number of days, hours, minutes or seconds for which the device has operated, using 1 byte for the unit and 4 bytes for the time.",First byte: Indicates the unit. Second: 0x41; Minute: 0x42; Hour: 0x43; Day:0x44 Second to fifth bytes: Indicates the elapsed time in the unit specified by the first byte. 0x00000000.0xFFFFFFFD (0.4294967295),,unsigned char + unsigned long,5,-,-,optional,-,
0x9D,Status change announcement property map,See Appendix 1.,,,unsigned char× (MAX17),<= 17,-,-,mandatory,-,
0x9E,Set property map,See Appendix 1.,,,unsigned char× (MAX17),<= 17,-,-,mandatory,-,
0x9F,Get property map,See Appendix 1.,,,unsigned char× (MAX17),<= 17,-,-,mandatory,-,
