クラス名,備考,,
電力量センサ,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ＯＮ＝0x30，ＯＦＦ＝0x31
0xE0,積算電力量計測値,積算電力量を0.001kWhで示す。,"0x0～0x3B9AC9FF(0～999,999.999kWh）"
0xE1,中容量センサ瞬時電力値計測値,瞬時電力値をWで示す。,"0xC4653601～0x3B9AC9FF(-999,999,999～999,999,999)"
0xE2,小容量センサ瞬時電力値計測値,瞬時電力値を0.1Wで示す。,0x8001～0x7FFE(-3276.7～3276.6)
0xE3,大容量センサ瞬時電力値計測値,瞬時電力値を0.1kWで示す。,0x8001～0x7FFE(-3276.7～3276.6)
0xE4,積算電力量計測履歴情報,積算電力量(0.001kWh)の計測結果履歴を、30分毎データを過去24時間で示す。,"0～0x3B9AC9FF(0～999,999,999)(0～999,999.999kWh）"
0xE5,実効電圧値計測値,実効電圧値をVで示す。,0x0000～0xFFFD(0～65533V)
