クラス名,備考,,
電気便座（温水洗浄便座、暖房便座 など）,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ＯＮ＝0x30，ＯＦＦ＝0x31
0xE0,便座温度レベル 設定,低.高（10段階）0x31が最低、0x3Aが最高レベル,0x31～0x3A
0xE1,便座ヒータ設定,ON／OFF,"ON＝0x41,OFF＝0x42"
0xE2,便座ヒータ一時停止設定,連続設定／一回設定／設定なし,"連続設定＝0x41,一回設定=0x42,設定なし＝0x43"
0xE3,便座ヒータ一時停止開始時刻設定値,一時停止開始時刻タイマ値HH:MM,0～0x17:0～0x3B(=0～23):(=0～59)
0xE4,便座ヒータ一時停止時間設定値,一時停止時間タイマ値HH:MM,0～0x17:0～0x3B(=0～23):(=0～59)
0xE5,部屋暖房温度レベル設定,低／中／高,0x31／0x32／0x33
0xE6,部屋暖房設定,部屋暖房ON／部屋暖房OFF／タイマモード設定,0x41／0x42／0x43
0xE7,部屋暖房状態,部屋暖房ON／部屋暖房OFF,"ON＝0x41,OFF＝0x42"
0xE8,部屋暖房開始時刻設定値,タイマ値HH:MM,0～0x17:0～0x3B(=0～23):(=0～59)
0xE9,部屋暖房運転時間設定値,運転時間HH:MM,0～0x17:0～0x3B(=0～23):(=0～59)
0xEA,特別運転モード設定,部屋暖房の特別運転モードを設定し、設定状態を取得する。,設定なし：0x40 冷え込み防止：0x41 for future reserved：0x42.
0xEB,人体検知状態,人体検知有無を示す。,人体検知有＝0x41，人体検知無＝0x42
0xEC,着座検知状態,着座検知有無を示す。,着座検知有＝0x41，着座検知無＝0x42
