クラス名,備考,,
冷温水熱源機,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ＯＮ＝0x30，ＯＦＦ＝0x31
0xE0,運転モード設定,暖房（温水）／冷房（冷水）の運転モ ードを設定し、設定状態を取得する,"暖房＝0x41,冷房＝0x42"
0xE1,水温設定１,水温設定値を表す。,0x00.0x64（0.100℃） AUTO＝0x71
0xE2,水温設定２,水温設定レベルを 15 段階で表す,冷房(冷水)：0x21.0x2F 暖房(温水)：0x31.0x3F いずれも最低レベル.最高レベル AUTO＝0x41
0xE3,往き水温計測値_x000a_（出口水温）,往き水温計測値,0x00.0x64（0.100℃）
0xE4,戻り水温計測値_x000a_（入口水温）,戻り水温計測値,0x00.0x64（0.100℃）
0xE5,特殊運転設定,通常運転／ひかえめ運転／ハイパワ ー運転を設定し、設定状態を取得する,"通常運転＝ 0x41, ひかえめ 運転＝ _x000a_0x42、ハイパワー運転＝0x43"
0xE6,デイリータイマ ー設定,デイリータイマー入／切_x000a_最大 2 種のタイマー使用可能,"タイマー切＝0x40,タイマー 1＝0x41_x000a_タイマー 2＝0x42"
0xE7,デイリータイマ ー１設定,デイリータイマーの設定値,24 時間を 30 分単位で分割、全 6 バイトを割当て、 各ビット１：運転、０：停止
0xE8,デイリータイマ ー２設定,デイリータイマー２の設定値,24 時間を 30 分単位で分割、全 6 バイトを割当て、 各ビット１：運転、０：停止
0x90,ON タイマ 予約設定,予約入／予約切,"予約入＝0x41,予約切＝0x42"
0x91,ON タイマ 時刻設定値,タイマ値 HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59）
0x92,ON タイマ 相対時間設定値,タイマ値 HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59)
0x94,OFF タイマ 予約設定,予約入／予約切,"予約入＝0x41,予約切＝0x42"
0x95,OFF タイマ 時刻設定値,タイマ値 HH:MM,0.0x17: 0.0x3B_x000a_(=0.23):(=0.59）
0x96,OFF  タイマ 相対時間設定値,タイマ値 HH:MM,0.0x17: 0.0x3B_x000a_(=0.23):(=0.59)
