クラス名,備考,,
蓄電池,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ＯＮ＝0x30，ＯＦＦ＝0x31
0xC8,最小最大充電電力 値,蓄電池への充電電力の最小値お よび最大値を、それぞれＷで示す,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999,999W）_x000a_最小充電電力値：最大充電電力値"
0xC9,最小最 大放電電力 値,蓄電池からの放電電力の最小値 および最大値を、それぞれＷで示 す,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999,999W）_x000a_最小放電電力値：最大放電電力値"
0xCA,最小最 大充電電流 値,蓄電池への充電電流の最小値お よび最大値を、それぞれ 0.1A で 示す,"0x0000.0x7FFE（0.3,276.6A）_x000a_最小充電電流値：最大充電電流値"
0xCB,最小最 大放電電流 値,蓄電池からの放電電流の最小値 および最大値を、それぞれ 0.1A で示す,"0x0000.0x7FFE（0.3,276.6A）_x000a_最小放電電流値：最大放電電流値"
0xCF,運転動作状態,蓄電池の動作状態を示す,"急速充電=0x41, 充電=0x42, 放電 = 0x43, 待 機 = 0x44, テ ス ト=0x45、その他=0x40"
0xD0,定格電力量,蓄電池の定格電力量を Wh で示す,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999,999Wh）"
0xD1,定格容量,蓄電池の定格充電容量を 0.1Ah で 示す,"0x0000   . 0x7FFE   （ 0   ._x000a_3,276.6Ah）"
0xD2,定格電圧,蓄電池の定格電圧を V で示す,"0x0000.0x7FFE（0.32,766V）"
0xD3,瞬時充 放電電力計 測値,瞬時充放電電力を±W で示す,"0x00000001 . 0x3B9AC9FF （ 1_x000a_.999,999,999W）：充電時（プラ ス 値 ） 、 0xFFFFFFFF . 0xC4653601     (   . 1   . ._x000a_999,999,999W）：放電時（マイナ ス値）"
0xD4,瞬時充 放電電流計 測値,瞬時充放電電流を±0.1A で示す,"0x0001  . 0x7FFE  （ 0.1  ._x000a_3,276.6A）：充電時（プラス値）、_x000a_0xFFFF . 0x8001 （ . 0.1 . ._x000a_3,276.7A）：放電時（マイナス値）"
0xD5,瞬時充 放電電圧計 測値,瞬時充放電電圧を±V で示す,"0x0001   . 0x7FFE   （ 1   ._x000a_32,766V）：充電時（プラス値）、_x000a_0xFFFF . 0x8001 （ . 1 . ._x000a_32,767V）：放電時（マイナス値）"
0xD6,積算放 電電力量計 測値,積算放電電力量を 0.001kWh で示 す,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999.999kWh）"
0xD7,積算放 電電力量リ セット設定,積算放電電力量をリセットする,リセット＝0x00
0xD8,積算充 電電力量計 測値,積算充電電力量を 0.001kWh で示 す,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999.999kWh）"
0xD9,積算充 電電力量リ セット設定,積算充電電力量をリセットする,リセット＝0x00
0xDA,運転モード設定,急速充電/充電/放電/待機/テスト/ その他の運転モードを設定する,"急速充電＝0x41, 充電＝0x42, 放 電＝ 0x43,  待機 ＝ 0x44,  テスト _x000a_=0x45, その他＝0x40"
0xDB,系統連系状態,系統連系状態のタイプを示す。,系統連系（逆潮流可）＝0x00 独立＝0x01 系統連系（逆潮流不可）＝0x02
0xDC,最小最大充電電力値(独立時),独立時の蓄電池への充電電力の 最小値および最大値を、それぞれ Wで示す,"0x00000000 ~ 0x3B9AC9FF ( 0 ~999,999,999W) 最小充電電力値:最大充電電力値"
0xDD,最小最大放電電力 値(独立時),独立時の蓄電池からの放電電力 の最小値および最大値を、それぞ れWで示す,"0x00000000 ~ 0x3B9AC9FF ( 0 ~999,999,999W) 最小放電電力値:最大放電電力値"
0xDE,最小最大充電電流値(独立時),独立時の蓄電池への充電電流の 最小値および最大値を、それぞれ 0.1A で示す,"0x0000~0x7FFE(0~3,276.6A) 最小充電電流値:最大充電電流値"
0xDF,最小最大放電電流値(独立時),独立時の蓄電池からの放電電流 の最小値および最大値を、それぞ れ 0.1A で示す,
0xE0,充放電量設定値 1,充電/放電の電力量を±Wh  で指 定する,"0x00000001 . 0x3B9AC9FF （ 1_x000a_.999,999,999Wh）：充電時（プ ラ ス 値 ）、 0xFFFFFFFF . 0xC4653601     (   . 1   . ._x000a_999,999,999Wh）：放電時（マイ ナス値）"
0xE1,充放電量設定値 2,充電/放電の容量を±0.1Ah   で指 定する,"0x0001  . 0x7FFE  （ 0.1  ._x000a_3,276.6Ah）：充電時（プラス値）、_x000a_0xFFFF . 0x8001 （. 0.1 .. _x000a_3,276.7Ah）：放電時（マイナス値）"
0xE2,蓄電残量 1,蓄電残量を Wh で示す,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999,999Wh）"
0xE3,蓄電残量 2,蓄電残量を 0.1Ah で示す,"0x0000   . 0x7FFE   （ 0   ._x000a_3,276.6Ah）"
0xE4,蓄電残量 3,蓄電残量を%で示す,(0〜100%)
0xE5,劣化状態,蓄電池の劣化状態（健康状態）を%で示す,(0〜100%)
0xE6,蓄電池タイプ,電池の種類を示す,タイプ=0x00.0xFF
0xE7,充電量設定値 1,充電の電力量を Wh で指定する,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999,999Wh）"
0xE8,放電量設定値 1,放電の電力量を Wh で指定する,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999,999Wh）"
0xE9,充電量設定値 2,充電の容量を 0.1Ah で指定する,"0x0000   . 0x7FFE   （ 0   ._x000a_3,276.6Ah）"
0xEA,放電量設定値 2,放電の容量を 0.1Ah で指定する,"0x0000   . 0x7FFE   （ 0   ._x000a_3,276.6Ah）"
0xEB,充電電力設定値,充電の電力を W で指定する,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999,999W）"
0xEC,放電電力設定値,放電の電力を W で指定する,"0x00000000 . 0x3B9AC9FF （ 0_x000a_.999,999,999W）"
0xED,充電電流設定値,充電の電流を 0.1A で指定する,"0x0000.0xFFFD（0.6,553.3A）"
0xEE,放電電流設定値,放電の電流を 0.1A で指定する,"0x0000.0xFFFD（0.6,553.3A）"
0xEF,定格電圧(独立時),独立時の蓄電池の定格電圧を V で 示す,"0x0000~0x7FFE(0~32,766V)"
