クラス名,備考,,
電気自動車充放電システム,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す,ON＝0x30，OFF＝0x31
0xC0,V2H 使用可能容 量値 1,車載電池の V2H  使用可能容量を_x000a_Wh で示す,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999Wh）"
0xC1,V2H 使用可能容 量値 2,車載電池の V2H  使用可能容量を_x000a_0.1Ah で示す,"0x0000.0x7FFE（0.3,276.6Ah）"
0xC2,V2H 使用可能残 容量 1,車載電池の V2H 使用可能残容量を_x000a_Wh で示す,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999Wh）"
0xC3,V2H 使用可能残 容量 2,車載電池の V2H 使用可能残容量を_x000a_0.1Ah で示す,"0x0000.0x7FFE（0.3,276.6Ah）"
0xC4,V2H 使用可能残 容量 3,車載電池の V2H  使用可能残容量_x000a_（％）を示す,0x00.0x64（0.100%）
0xC5,定格充電能力,定格充電能力を W で示す,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999W）"
0xC6,定格放電能力,定格放電能力を W で示す,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999W）"
0xC7,充放電可否状態,電気自動車充放電システムにおけ る充放電の可否を示す,充電不可・放電不可=0x40 充電可・放電不可=0x41 充電不可・放電可=0x42 充電可・放電可=0x043
0xC8,最小最大充電電 力値,電気自動車充放電システムへの充 電電力の最小値および最大値を、そ れぞれＷで示す,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999W）_x000a_最小充電電力値：最大充電電力値"
0xC9,最小最大放電電 力値,電気自動車充放電システムからの 放電電力の最小値および最大値を、 それぞれＷで示す,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999W）_x000a_最小放電電力値：最大放電電力値"
0xCA,最小最大充電電 流値,電気自動車充放電システムへの充 電電流の最小値および最大値を、そ れぞれ 0.1A で示す,"0x0000.0x7FFE（0.3,276.6A）_x000a_最小充電電流値：最大充電電流値"
0xCB,最小最大放電電 流値,電気自動車充放電システムからの 放電電流の最小値および最大値を、 それぞれ 0.1A で示す,"0x0000.0x7FFE（0.3,276.6A）_x000a_最小放電電流値：最大放電電流値"
0xD0,使用容量値 1,車載電池の容量を Wh で示す,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999Wh）"
0xD1,使用容量値 2,車載電池の容量を 0.1Ah で示す,"0x0000.0x7FFE（0.3,276.6Ah）"
0xD2,定格電圧,車載電池の定格電圧を V で示す,"0x0000.0x7FFE（0.32,766V）"
0xD3,瞬時充放電電力 計測値,瞬時充放電電力を±W で示す,"0x00000001.0x3B9AC9FF（1._x000a_999,999,999W）：充電時（プラス 値）、0xFFFFFFFF.0xC4653601_x000a_（.1..999,999,999W）：放電時_x000a_（マイナス値）"
0xD4,瞬時充放電電流 計測値,瞬時充放電電流を±0.1A で示す,"0x0001  . 0x7FFE  （ 0.1  ._x000a_3,276.6A）：充電時（プラス値）、_x000a_0xFFFF . 0x8001 （. 0.1 .. _x000a_3,276.7A）：放電時（マイナス値）"
0xD5,瞬時充放電電圧 計測値,瞬時充放電電圧を±V で示す,"0x0001.0x7FFE（1.32,766V）：_x000a_充電時（プ ラス値 ）、 0xFFFF . 0x8001（.1..32,767V）：放電 時（マイナス値）"
0xD6,積算放電電力量 計測値,積算放電電力量を 0.001kWh  で示 す,"0x00000000.0x3B9AC9FF（0._x000a_999,999.999kWh"
0xD7,積算放電電力量 リセット設定,積算放電電力量をリセットする,リセット=0x00
0xD8,積算充電電力量 計測値,積算充電電力量を 0.001kWh  で示 す,"0x00000000.0x3B9AC9FF（0._x000a_999,999.999kWh"
0xD9,積算充電電力量 リセット設定,積算充電電力量をリセットする,リセット=0x00
0xDA,運転モード設定,急速充電/充電/放電/待機/テスト/そ の他の運転モードを設定する,"急速充電＝0x41, 充電＝0x42, 放 電＝ 0x43,  待機＝ 0x44,  テスト _x000a_=0x45, その他＝0x40"
0xDB,系統連系状態,系統連系状態を示す。,系統連系（逆潮流可）＝0x00 独立＝0x01 系統連系（逆潮流不可）＝0x02
0xE2,電池残容量 1,車載電池の残容量を Wh で示す,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999Wh）"
0xE3,電池残容量 2,車載電池の残容量を 0.1Ah で示す,"0x0000.0x7FFE（0.3,276.6Ah）"
0xE4,電池残容量 3,車載電池残容量（％）を示す,0x00.0x64（0.100%）
0xE5,劣化状態,車載電池の劣化状態（健康状態） を%で示す,0x00.0x64（0.100%）
0xE7,充電量設定値 1,充電の電力量を Wh で指定する,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999Wh）"
0xE8,放電量設定値 1,放電の電力量を Wh で指定する,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999Wh）"
0xE9,充電量設定値 2,充電の容量を 0.1Ah で指定する,"0x0000.0x7FFE（0.3,276.6Ah）"
0xEA,放電量設定値 2,放電の容量を 0.1Ah で指定する,"0x0000.0x7FFE（0.3,276.6Ah）"
0xEB,充電電力設定値,充電の電力を W で指定する,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999W）"
0xEC,放電電力設定値,放電の電力を W で指定する,"0x00000000.0x3B9AC9FF（0._x000a_999,999,999W）"
0xED,充電電流設定値,充電の電流を 0.1A で指定する,"0x0000.0xFFFD（0.6,553.3A）"
0xEE,放電電流設定値,放電の電流を 0.1A で指定する,"0x0000.0xFFFD（0.6,553.3A）"
