クラス名,備考,,
炊飯器,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ＯＮ＝0x30，ＯＦＦ＝0x31
0xB0,蓋開閉状態,蓋開／閉状態を示す。,蓋開＝0x41，蓋閉＝0x42
0xB1,炊飯状態,炊飯状態を示す。,停止＝0x41、予熱＝0x42、_x000a_炊飯＝0x43、蒸らし＝0x44、_x000a_炊飯完了＝0x45
0xB2,炊飯制御設定,炊飯制御設定を示す。,"炊飯開始・炊飯再開＝0x41, 炊飯一時停止＝0x42"
0xE1,保温設定,保温設定の有無を示す。,"保温有＝0x41, 保温無＝0x42"
0xE5,内なべ取り外し状 態,内なべ取り外しの有無を示す。,取り外し有＝0x41， 取り外し無＝0x42
0xE6,蓋取り外し状態,蓋取り外しの有無を示す。,取り外し有＝0x41，取り外し無＝_x000a_0x42
0x90,炊飯予約設定,炊飯予約の有無を示す。,予約有＝0x41，予約無＝0x42
0x91,炊飯予約設定 時刻設定値,タイマ値 HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59)
0x92,炊飯予約設定 相対時間設定値,タイマ値 HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59)
