クラス名,備考,,
洗濯機,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ＯＮ＝0x30，ＯＦＦ＝0x31
0xB0,扉・蓋開閉状態,扉・蓋開／閉状態を示す。,扉・蓋開＝0x41，扉・蓋閉＝0x42
0xB2,洗濯設定,洗濯設定,"洗濯開始・再開＝0x41, 洗濯一時停止＝0x42, 洗濯停止＝0x43"
0xE1,洗濯遷移状態,洗濯遷移状態,"洗い＝0x41, すすぎ＝0x42, 脱水＝0x43, 一時停止＝0x44, 洗濯完了・停止＝0x45"
0xE6,洗濯残り時間,洗濯残り時間を HH:MM:SS で示 す。,0.0x17: 0.0x3B : 0.0x3B (=0.23):(=0.59):(=0.59)
0x90,ON タイマ 予約設定,予約入／予約切,予約入＝0x41、予約切＝0x42
0x91,ON タイマ 時刻設定値,タイマ値 HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59)
0x92,ON タイマ 相対時間設定値,タイマ値 HH:MM,0.0x17: 0.0x3B (=0.23):(=0.59）
