クラス名,備考,,
,,,
,,,
,,,
,,,
EPC,Property name,Contents of property,Value range(decimal notation)
0x80,動作状態,ON／OFF の状態を示す。,ON＝0x30，OFF＝0x31
0x81,設置場所,設置場所を示す。,2.2 設置場所プロパティ参照
0x82,規格Version情報,対応するAPPENDIXのリリース番号を示す.。,1バイト目：0x00固定(for future reserved) 2バイト目：0x00固定 (for future reserved) 3バイト目：リリース順.をASCIIで示す。 4バイト目：0x00固定(for future reserved)
0x83,識別番号,オブジェクトを固有に識別する番号。,"1バイト目：下位通信層IDフィールド 0x01～0xFD： 下位通信層で使用される通信プロトコルで固有の番号が振られている場合、プロトコル種別に応じて、任意に設定（ECHONET Lite では使用しない） 0x11～0x1F：電灯線 a,d 方式 0x31～0x3F：特定小電力無線 0x41～0x4F：拡張 HBS 0x51～0x5F：IrDA 0x61～0x6F：LonTalk 0x71～0x7F：Bluetooth 0x81～0x8F：イーサネット 0x91～0x9F：IEEE802.11/11b 0xA1：電灯線 c 方式 0xB1：IPv6/Ethernet 0xB2：IPv6/6LoWPAN 0xFE： 2～17 バイトをメーカ規定。形式 により設定（詳細説明参照） 0xFF：2～9バイトを乱数により生成 するプロトコルを下位通信層で 使用する場合に設定 0x00：識別番号未設定 2バイト目以降：固有番号フィールド"
0x84,瞬時消費電力計測値,機器の瞬時消費電力をWで示す。,0x0000～0xFFFF（0～65535W）
0x85,積算消費電力計測値,機器の積算消費電力を0.001kWhで示す。,"0x0～0x3B9AC9FF0～999,999.999kWh）"
0x86,メーカ異常コード,各メーカ独自の異常コードを示す。,1バイト目：異常コード部のデータサイズを示す。 2～4バイト目：メーカコード 5バイト目以降：各メーカ独自の異 常コード部
0x87,電流制限設定,電流制限の設定値を示す (0～100%)。,0x00～0x64（=0～100%）
0x88,異常発生状態,何らかの異常（センサトラブル等 の発生状況を示す。,異常発生有＝0x41，異常発生無＝0x42
0x89,異常内容,異常内容,2.5 異常内容プロパティ参照
0x8A,メーカコード,3バイトで指定。,(ECHONETコンソーシアムで規定。)
0x8B,事業場コード,3バイトの事業場コードで指定。,（各メーカ毎に規定。）
0x8C,商品コード,ASCIIコードで指定。,（各メーカ毎に規定。）
0x8D,製造番号,ASCIIコードで指定。,（各メーカ毎に規定。）
0x8E,製造年月日,4バイトで指定。,YYMD(1文字1バイト)で示す。 YY：西暦年(1999年の 場合:0x07CF) M：月(12月の場合＝0x0C) D：日(20日の場合＝0x14)
0x8F,節電動作設定,機器の節電動作状態を示す。,節電動作中=0x41 通常動作中=0x42
0x93,遠隔操作設定,公衆回線を介した操作か否かを示す。,公衆回線未経由操作=0x41 公衆回線経由操作=0x42
0x97,現在時刻設定,現在時刻HH：MM,0x00～0x17：0x00～0x3B（＝0～23）：（＝0～59）
0x98,現在年月日設定,現在年月日 YYYY：MM：DD,1～0x270F：1～0x0C：1～0x1F (=1～9999)：(=1～12)：(=1～31)
0x99,電力制限設定,電力制限の設定値をWで示す。,0x0000～0xFFFF（0～65535W）
0x9A,積算運転時間,現在までの運転時間の積算値を単位1バイト、時間4バイトで示す。,1バイト目：単位を示す 秒：0x41、分：0x42 時：0x43、日:0x44 2～5 バイト目：1バイト目に示される時間単位における経過時間を示す 0x00000000～0xFFFFFFFF (0～4294967295)
0x9D,状変アナウンスプロパティマップ,付録 1．参照,
0x9E,Setプロパティマップ,付録 1．参照,
0x9F,Getプロパティマップ,付録 1．参照,
